h2a_entity_name,h2a_dba_or_agent,h2a_location_type,h2a_address,h2a_lat,h2a_lon,district_office,state,workers_certified,crop_activity,employment_period,laundromat_name,laundromat_address,laundromat_lat,laundromat_lon,distance_km,laundromat_hours,laundromat_phone,source_url,confidence,location_id,h2a_case_numbers,h2a_source_url,sensitive_housing,dedupe_note,geocode_source,geocode_status,h2a_county,laundromat_id,laundromat_source,laundromat_confidence,laundromat_state_query,osm_tags,radius_km,match_rank,match_status
SEEDLAND AG LLC,POC Jose Martin Sarinelli,business,"405 DOISY LN, Champaign, IL, 61822",40.150568051154,-88.251080436353,CH,IL,5,Agricultural Equipment Operator and General Farm Laborer,11-Sep-2026 to 11-Nov-2026,(unnamed laundry listing),IL,40.1285985,-88.2730706,3.076,,,https://www.openstreetmap.org/way/627845707,high,h2a_000001,JO-A-300-26179-057177,https://api.seasonaljobs.dol.gov/datahub-search/sjCaseData/zip/jo/2026-06-29#caseNumber=JO-A-300-26179-057177,False,,US Census batch geocoder (Non_Exact),Match,,osm_way_627845707,OpenStreetMap via Overpass API,high,IL,"{""access"": ""private"", ""building"": ""yes"", ""operator"": ""Westgate Apartments"", ""self_service"": ""yes"", ""shop"": ""laundry""}",8.0,1,matched
SEEDLAND AG LLC,POC Jose Martin Sarinelli,business,"405 DOISY LN, Champaign, IL, 61822",40.150568051154,-88.251080436353,CH,IL,5,Agricultural Equipment Operator and General Farm Laborer,11-Sep-2026 to 11-Nov-2026,Starcrest Cleaners,"614 South Neil Street, Champaign, IL, 61820",40.1092792,-88.2441508,4.629,Mo-Su 07:00-23:00,+1 217 352 4801,https://www.openstreetmap.org/node/13547287015,high,h2a_000001,JO-A-300-26179-057177,https://api.seasonaljobs.dol.gov/datahub-search/sjCaseData/zip/jo/2026-06-29#caseNumber=JO-A-300-26179-057177,False,,US Census batch geocoder (Non_Exact),Match,,osm_node_13547287015,OpenStreetMap via Overpass API,high,IL,"{""addr:city"": ""Champaign"", ""addr:country"": ""US"", ""addr:housenumber"": ""614"", ""addr:postcode"": ""61820"", ""addr:state"": ""IL"", ""addr:street"": ""South Neil Street"", ""check_date"": ""2026-02-13"", ""description"": ""Last load in by 22:00."", ""laundry_service"": ""yes"", ""name"": ""Starcrest Cleaners"", ""opening_hours"": ""Mo-Su 07:00-23:00"", ""payment:coins"": ""yes"", ""phone"": ""+1 217 352 4801"", ""self_service"": ""yes"", ""shop"": ""laundry"", ""website"": ""https://starcrestcleaners.com/communities/champaign-urbana-il/""}",8.0,2,matched
SEEDLAND AG LLC,POC Jose Martin Sarinelli,business,"405 DOISY LN, Champaign, IL, 61822",40.150568051154,-88.251080436353,CH,IL,5,Agricultural Equipment Operator and General Farm Laborer,11-Sep-2026 to 11-Nov-2026,Starcrest Cleaners,"202 South Country Fair Drive, Champaign, IL, 61821",40.1151812,-88.2811877,4.694,Su-Sa 07:00-23:00,+1-217-355-8284,https://www.openstreetmap.org/node/13527740094,high,h2a_000001,JO-A-300-26179-057177,https://api.seasonaljobs.dol.gov/datahub-search/sjCaseData/zip/jo/2026-06-29#caseNumber=JO-A-300-26179-057177,False,,US Census batch geocoder (Non_Exact),Match,,osm_node_13527740094,OpenStreetMap via Overpass API,high,IL,"{""addr:city"": ""Champaign"", ""addr:housenumber"": ""202"", ""addr:postcode"": ""61821"", ""addr:state"": ""IL"", ""addr:street"": ""South Country Fair Drive"", ""name"": ""Starcrest Cleaners"", ""opening_hours"": ""Su-Sa 07:00-23:00"", ""phone"": ""+1-217-355-8284"", ""self_service"": ""yes"", ""shop"": ""laundry"", ""website"": ""https://starcrestcleaners.com/communities/champaign-urbana-il/""}",8.0,3,matched
SEEDLAND AG LLC,POC Jose Martin Sarinelli,business,"405 DOISY LN, Champaign, IL, 61822",40.150568051154,-88.251080436353,CH,IL,5,Agricultural Equipment Operator and General Farm Laborer,11-Sep-2026 to 11-Nov-2026,Laundry Room,IL,40.1103957,-88.2325177,4.738,,,https://www.openstreetmap.org/node/2805236573,medium,h2a_000001,JO-A-300-26179-057177,https://api.seasonaljobs.dol.gov/datahub-search/sjCaseData/zip/jo/2026-06-29#caseNumber=JO-A-300-26179-057177,False,,US Census batch geocoder (Non_Exact),Match,,osm_node_2805236573,OpenStreetMap via Overpass API,medium,IL,"{""name"": ""Laundry Room"", ""shop"": ""laundry"", ""wheelchair"": ""no""}",8.0,4,matched
SEEDLAND AG LLC,POC Jose Martin Sarinelli,business,"405 DOISY LN, Champaign, IL, 61822",40.150568051154,-88.251080436353,CH,IL,5,Agricultural Equipment Operator and General Farm Laborer,11-Sep-2026 to 11-Nov-2026,R&R's Laundromat,"1502 North Cunningham Avenue A, Urbana, IL, 61802",40.1260968,-88.1981145,5.261,Su-Fr 07:00-19:00; Sa 07:00-20:15,+1-217-337-7717,https://www.openstreetmap.org/node/13966335556,high,h2a_000001,JO-A-300-26179-057177,https://api.seasonaljobs.dol.gov/datahub-search/sjCaseData/zip/jo/2026-06-29#caseNumber=JO-A-300-26179-057177,False,,US Census batch geocoder (Non_Exact),Match,,osm_node_13966335556,OpenStreetMap via Overpass API,high,IL,"{""addr:city"": ""Urbana"", ""addr:housenumber"": ""1502"", ""addr:postcode"": ""61802"", ""addr:state"": ""IL"", ""addr:street"": ""North Cunningham Avenue"", ""addr:unit"": ""A"", ""check_date"": ""2026-06-25"", ""email"": ""rrslaundry@yahoo.com"", ""name"": ""R&R's Laundromat"", ""official_name"": ""R&R's Commercial Laundry & Dry Cleaning"", ""opening_hours"": ""Su-Fr 07:00-19:00; Sa 07:00-20:15"", ""phone"": ""+1-217-337-7717"", ""self_service"": ""yes"", ""shop"": ""laundry"", ""short_name"": ""R&R's""}",8.0,5,matched
SEEDLAND AG LLC,POC Jose Martin Sarinelli,business,"405 DOISY LN, Champaign, IL, 61822",40.150568051154,-88.251080436353,CH,IL,5,Agricultural Equipment Operator and General Farm Laborer,11-Sep-2026 to 11-Nov-2026,Courtesy Cleaners Laundromat,"402 North Broadway Avenue, Urbana, IL, 61801",40.1158163,-88.2071572,5.374,Su-Sa 07:30-22:30,+1-217-344-7401,https://www.openstreetmap.org/way/650907684,high,h2a_000001,JO-A-300-26179-057177,https://api.seasonaljobs.dol.gov/datahub-search/sjCaseData/zip/jo/2026-06-29#caseNumber=JO-A-300-26179-057177,False,,US Census batch geocoder (Non_Exact),Match,,osm_way_650907684,OpenStreetMap via Overpass API,high,IL,"{""addr:city"": ""Urbana"", ""addr:housenumber"": ""402"", ""addr:postcode"": ""61801"", ""addr:state"": ""IL"", ""addr:street"": ""North Broadway Avenue"", ""building"": ""retail"", ""building:levels"": ""1"", ""check_date"": ""2026-01-31"", ""name"": ""Courtesy Cleaners Laundromat"", ""opening_hours"": ""Su-Sa 07:30-22:30"", ""phone"": ""+1-217-344-7401"", ""self_service"": ""yes"", ""shop"": ""laundry""}",8.0,6,matched
SEEDLAND AG LLC,POC Jose Martin Sarinelli,business,"405 DOISY LN, Champaign, IL, 61822",40.150568051154,-88.251080436353,CH,IL,5,Agricultural Equipment Operator and General Farm Laborer,11-Sep-2026 to 11-Nov-2026,Denny's Dry Cleaning & Laundromat,"1205 South Mattis Avenue, Champaign, IL, 61821",40.1033001,-88.2771009,5.703,,,https://www.openstreetmap.org/way/450180069,high,h2a_000001,JO-A-300-26179-057177,https://api.seasonaljobs.dol.gov/datahub-search/sjCaseData/zip/jo/2026-06-29#caseNumber=JO-A-300-26179-057177,False,,US Census batch geocoder (Non_Exact),Match,,osm_way_450180069,OpenStreetMap via Overpass API,high,IL,"{""addr:city"": ""Champaign"", ""addr:housenumber"": ""1205"", ""addr:postcode"": ""61821"", ""addr:state"": ""IL"", ""addr:street"": ""South Mattis Avenue"", ""building"": ""commercial"", ""dry_cleaning"": ""yes"", ""name"": ""Denny's Dry Cleaning & Laundromat"", ""self_service"": ""yes"", ""shop"": ""laundry"", ""source"": ""https://www.news-gazette.com/news/local/housing/c-u-at-home-looks-to-relocate-mid-barrier-shelter-to-office-building-in-west/article_bf82a38a-9540-11ef-88c6-67cdcd3c4bce.html""}",8.0,7,matched
Grabemeyer Farms,POC Dave Grabemeyer,business,"33736 Dixon St., Dowagiac, MI, 49047",42.05675189019,-86.217508766052,GR,MI,7,H-2A Wage | H-2A foreign workers will be offered a wage of $16.15 per hour. Wage offered is current AEWR. Paid Medical Leave as required by Michigan Law Under Earned Sick Time Act 338. | Apple (All Varieties) | Apple Hand Harvest (All Varieties): 18-bushel boxes $25.00 per-box. Estimated hourly rate: $17.47. Piece rates are minimum and may change during season or hourly rates may be offered. Employer guarantees worker payment not less than state's AEWR hourly rate.,26-Aug-2026 to 16-Oct-2026,,,,,,,,,high,h2a_000002,JO-A-300-26179-057042,https://api.seasonaljobs.dol.gov/datahub-search/sjCaseData/zip/jo/2026-06-29#caseNumber=JO-A-300-26179-057042,False,,US Census batch geocoder (Exact),Match,,,,,,,8.0,,no_laundromat_within_radius
Grabemeyer Farms,POC Dave Grabemeyer,worksite,"33736 Dixon Street, Dowagiac, MI, 49047",42.05675189019,-86.217508766052,GR,MI,7,H-2A Wage | H-2A foreign workers will be offered a wage of $16.15 per hour. Wage offered is current AEWR. Paid Medical Leave as required by Michigan Law Under Earned Sick Time Act 338. | Apple (All Varieties) | Apple Hand Harvest (All Varieties): 18-bushel boxes $25.00 per-box. Estimated hourly rate: $17.47. Piece rates are minimum and may change during season or hourly rates may be offered. Employer guarantees worker payment not less than state's AEWR hourly rate.,26-Aug-2026 to 16-Oct-2026,,,,,,,,,high,h2a_000003,JO-A-300-26179-057042,https://api.seasonaljobs.dol.gov/datahub-search/sjCaseData/zip/jo/2026-06-29#caseNumber=JO-A-300-26179-057042,False,,US Census batch geocoder (Exact),Match,CASS COUNTY,,,,,,8.0,,no_laundromat_within_radius
Grabemeyer Farms,POC Dave Grabemeyer,worksite,"42.0991760233726 , -86.1932675948904, MI",42.0991760233726,-86.1932675948904,GR,MI,7,H-2A Wage | H-2A foreign workers will be offered a wage of $16.15 per hour. Wage offered is current AEWR. Paid Medical Leave as required by Michigan Law Under Earned Sick Time Act 338. | Apple (All Varieties) | Apple Hand Harvest (All Varieties): 18-bushel boxes $25.00 per-box. Estimated hourly rate: $17.47. Piece rates are minimum and may change during season or hourly rates may be offered. Employer guarantees worker payment not less than state's AEWR hourly rate.,26-Aug-2026 to 16-Oct-2026,,,,,,,,,high,h2a_000005,JO-A-300-26179-057042,https://api.seasonaljobs.dol.gov/datahub-search/sjCaseData/zip/jo/2026-06-29#caseNumber=JO-A-300-26179-057042,False,,disclosed_decimal_coordinates,matched,VAN BUREN COUNTY,,,,,,8.0,,no_laundromat_within_radius
