crosswalk_id,state_inspected_id,program_state,state_program_name,state_facility_name,state_operator_name,state_camp_address,state_county,state_license_or_permit_id,state_status,state_source_url,match_status,match_confidence,match_basis,match_score,name_similarity,address_similarity,same_city,same_postcode,distance_km,h2a_location_id,h2a_entity_name,h2a_location_type,h2a_address,h2a_lat,h2a_lon,h2a_case_numbers,h2a_workers_certified,h2a_employment_period,h2a_source_url,review_note
xwalk_IL-IDPH-00004,IL-IDPH-00004,IL,Illinois IDPH Migrant Labor Camps,SENECA FOODS CORP,SENECA FOOD CORP,"606 S TREMONT AVE, PRINCEVILLE, IL, 61559",Peoria,00004,ACTIVE,https://data.illinois.gov/resource/29w9-5zpm.json?lcidno=00004,unmatched,,no_defensible_local_link,,,,,,,,,,,,,,,,,Public Pages view omits the linked local H-2A housing site and case identifiers. No local H-2A housing record met the automated evidence threshold.
xwalk_IL-IDPH-00006,IL-IDPH-00006,IL,Illinois IDPH Migrant Labor Camps,HOME NURSERY HOUSING CAMP,"HOME NURSERY, INC","5900 NURSERY RD., ALBERS, IL, 62215",CLINTON,00006,ACTIVE,https://data.illinois.gov/resource/29w9-5zpm.json?lcidno=00006,unmatched,,no_defensible_local_link,,,,,,,,,,,,,,,,,Public Pages view omits the linked local H-2A housing site and case identifiers. No local H-2A housing record met the automated evidence threshold.
xwalk_IL-IDPH-00017,IL-IDPH-00017,IL,Illinois IDPH Migrant Labor Camps,RENDLEMAN ORCHARDS,RENDLEMAN ORCHARDS,"9680 HWY. 127N, ALTO PASS, IL, 62905",UNION,00017,ACTIVE,https://data.illinois.gov/resource/29w9-5zpm.json?lcidno=00017,unmatched,,no_defensible_local_link,,,,,,,,,,,,,,,,,Public Pages view omits the linked local H-2A housing site and case identifiers. No local H-2A housing record met the automated evidence threshold.
xwalk_IL-IDPH-00032,IL-IDPH-00032,IL,Illinois IDPH Migrant Labor Camps,KLEIN'S QUALITY PRODUCE LLC,MATT KLEIN,"11N590 LAWRENCE RD., BURLINGTON, IL, 60109",KANE,00032,ACTIVE,https://data.illinois.gov/resource/29w9-5zpm.json?lcidno=00032,unmatched,,no_defensible_local_link,,,,,,,,,,,,,,,,,Public Pages view omits the linked local H-2A housing site and case identifiers. No local H-2A housing record met the automated evidence threshold.
xwalk_IL-IDPH-00054,IL-IDPH-00054,IL,Illinois IDPH Migrant Labor Camps,FREY BROTHERS - BLUFORD,FREY BROTHERS,"22574 E. DIVIDE RD., BLUFORD, IL, 62814",JEFFERSON,00054,ACTIVE,https://data.illinois.gov/resource/29w9-5zpm.json?lcidno=00054,unmatched,,no_defensible_local_link,,,,,,,,,,,,,,,,,Public Pages view omits the linked local H-2A housing site and case identifiers. No local H-2A housing record met the automated evidence threshold.
xwalk_IL-IDPH-00055,IL-IDPH-00055,IL,Illinois IDPH Migrant Labor Camps,FREY PRODUCE NASHVILLE,FREY BROTHERS,"16012 S.R. 15, NASHVILLE, IL, 62263",WASHINGTON,00055,ACTIVE,https://data.illinois.gov/resource/29w9-5zpm.json?lcidno=00055,unmatched,,no_defensible_local_link,,,,,,,,,,,,,,,,,Public Pages view omits the linked local H-2A housing site and case identifiers. No local H-2A housing record met the automated evidence threshold.
xwalk_IL-IDPH-00118,IL-IDPH-00118,IL,Illinois IDPH Migrant Labor Camps,FLAMM CAMP,"FLAMM ORCHARDS, INC","8760 OLD HWY. 51 N., COBDEN, IL, 62920",UNION,00118,ACTIVE,https://data.illinois.gov/resource/29w9-5zpm.json?lcidno=00118,unmatched,,no_defensible_local_link,,,,,,,,,,,,,,,,,Public Pages view omits the linked local H-2A housing site and case identifiers. No local H-2A housing record met the automated evidence threshold.
xwalk_IL-IDPH-00128,IL-IDPH-00128,IL,Illinois IDPH Migrant Labor Camps,FIESTA MOTEL,THREE G TRUCKING LLC,"951 W. REYNOLDS ST., PONTIAC, IL, 61764",LIVINGSTON,00128,ACTIVE,https://data.illinois.gov/resource/29w9-5zpm.json?lcidno=00128,same_operator,high,operator_or_facility_name,1.0,1.0,0.4225,False,False,77.252,,"Three G Trucking, Inc.",housing,,,,,,,,"Public Pages view omits the linked local H-2A housing site and case identifiers. Operator/entity aligns, but the state camp and local H-2A housing addresses differ."
xwalk_IL-IDPH-00153,IL-IDPH-00153,IL,Illinois IDPH Migrant Labor Camps,"MATTHEWS HOSPITALITY, INC","MATTHEWS HOSPITALITY, INC.","1327 ENTERPRISE, RANTOUL, IL, 61866",CHAMPAIGN,00153,ACTIVE,https://data.illinois.gov/resource/29w9-5zpm.json?lcidno=00153,unmatched,,no_defensible_local_link,,,,,,,,,,,,,,,,,Public Pages view omits the linked local H-2A housing site and case identifiers. No local H-2A housing record met the automated evidence threshold.
xwalk_IL-IDPH-95399,IL-IDPH-95399,IL,Illinois IDPH Migrant Labor Camps,FREY BROTHERS - OAK GROVE SCHOOL,FREY BROTHERS,"HWY 242 ON C.R. 100N, KEENES, IL, 62851",WAYNE,95399,ACTIVE,https://data.illinois.gov/resource/29w9-5zpm.json?lcidno=95399,unmatched,,no_defensible_local_link,,,,,,,,,,,,,,,,,Public Pages view omits the linked local H-2A housing site and case identifiers. No local H-2A housing record met the automated evidence threshold.
