state_inspected_id,program_state,program_name,facility_name,operator_name,street_address,city,state,postcode,county,license_or_permit_id,status,expiration_date,capacity,source_name,source_url,source_record_url,full_address,lat,lon,geocode_status,geocode_source,coverage_note
IL-IDPH-00004,IL,Illinois IDPH Migrant Labor Camps,SENECA FOODS CORP,SENECA FOOD CORP,606 S TREMONT AVE,PRINCEVILLE,IL,61559,Peoria,00004,ACTIVE,2019-12-31T00:00:00.000,,State of Illinois Data Portal: IDPH Migrant Labor Camps,https://data.illinois.gov/dataset/IDPH-Migrant-Labor-Camps/29w9-5zpm/about_data,https://data.illinois.gov/resource/29w9-5zpm.json?lcidno=00004,"606 S TREMONT AVE, PRINCEVILLE, IL, 61559",40.92440810063,-89.758492895565,Match,US Census batch geocoder (Exact),Official Illinois public dataset says current licensed camps; source expiration field currently shows 2019 for all rows.
IL-IDPH-00006,IL,Illinois IDPH Migrant Labor Camps,HOME NURSERY HOUSING CAMP,"HOME NURSERY, INC",5900 NURSERY RD.,ALBERS,IL,62215,CLINTON,00006,ACTIVE,2019-12-31T00:00:00.000,,State of Illinois Data Portal: IDPH Migrant Labor Camps,https://data.illinois.gov/dataset/IDPH-Migrant-Labor-Camps/29w9-5zpm/about_data,https://data.illinois.gov/resource/29w9-5zpm.json?lcidno=00006,"5900 NURSERY RD., ALBERS, IL, 62215",,,No_Match,,Official Illinois public dataset says current licensed camps; source expiration field currently shows 2019 for all rows.
IL-IDPH-00017,IL,Illinois IDPH Migrant Labor Camps,RENDLEMAN ORCHARDS,RENDLEMAN ORCHARDS,9680 HWY. 127N,ALTO PASS,IL,62905,UNION,00017,ACTIVE,2019-12-31T00:00:00.000,,State of Illinois Data Portal: IDPH Migrant Labor Camps,https://data.illinois.gov/dataset/IDPH-Migrant-Labor-Camps/29w9-5zpm/about_data,https://data.illinois.gov/resource/29w9-5zpm.json?lcidno=00017,"9680 HWY. 127N, ALTO PASS, IL, 62905",,,No_Match,,Official Illinois public dataset says current licensed camps; source expiration field currently shows 2019 for all rows.
IL-IDPH-00032,IL,Illinois IDPH Migrant Labor Camps,KLEIN'S QUALITY PRODUCE LLC,MATT KLEIN,11N590 LAWRENCE RD.,BURLINGTON,IL,60109,KANE,00032,ACTIVE,2019-12-31T00:00:00.000,,State of Illinois Data Portal: IDPH Migrant Labor Camps,https://data.illinois.gov/dataset/IDPH-Migrant-Labor-Camps/29w9-5zpm/about_data,https://data.illinois.gov/resource/29w9-5zpm.json?lcidno=00032,"11N590 LAWRENCE RD., BURLINGTON, IL, 60109",,,No_Match,,Official Illinois public dataset says current licensed camps; source expiration field currently shows 2019 for all rows.
IL-IDPH-00054,IL,Illinois IDPH Migrant Labor Camps,FREY BROTHERS - BLUFORD,FREY BROTHERS,22574 E. DIVIDE RD.,BLUFORD,IL,62814,JEFFERSON,00054,ACTIVE,2019-12-31T00:00:00.000,,State of Illinois Data Portal: IDPH Migrant Labor Camps,https://data.illinois.gov/dataset/IDPH-Migrant-Labor-Camps/29w9-5zpm/about_data,https://data.illinois.gov/resource/29w9-5zpm.json?lcidno=00054,"22574 E. DIVIDE RD., BLUFORD, IL, 62814",38.445838462748,-88.721122764835,Match,US Census batch geocoder (Exact),Official Illinois public dataset says current licensed camps; source expiration field currently shows 2019 for all rows.
IL-IDPH-00055,IL,Illinois IDPH Migrant Labor Camps,FREY PRODUCE NASHVILLE,FREY BROTHERS,16012 S.R. 15,NASHVILLE,IL,62263,WASHINGTON,00055,ACTIVE,2019-12-31T00:00:00.000,,State of Illinois Data Portal: IDPH Migrant Labor Camps,https://data.illinois.gov/dataset/IDPH-Migrant-Labor-Camps/29w9-5zpm/about_data,https://data.illinois.gov/resource/29w9-5zpm.json?lcidno=00055,"16012 S.R. 15, NASHVILLE, IL, 62263",38.345519698684,-89.408230652848,Match,US Census batch geocoder (Exact),Official Illinois public dataset says current licensed camps; source expiration field currently shows 2019 for all rows.
IL-IDPH-00118,IL,Illinois IDPH Migrant Labor Camps,FLAMM CAMP,"FLAMM ORCHARDS, INC",8760 OLD HWY. 51 N.,COBDEN,IL,62920,UNION,00118,ACTIVE,2019-12-31T00:00:00.000,,State of Illinois Data Portal: IDPH Migrant Labor Camps,https://data.illinois.gov/dataset/IDPH-Migrant-Labor-Camps/29w9-5zpm/about_data,https://data.illinois.gov/resource/29w9-5zpm.json?lcidno=00118,"8760 OLD HWY. 51 N., COBDEN, IL, 62920",37.57708365891,-89.26255347039,Match,US Census batch geocoder (Exact),Official Illinois public dataset says current licensed camps; source expiration field currently shows 2019 for all rows.
IL-IDPH-00128,IL,Illinois IDPH Migrant Labor Camps,FIESTA MOTEL,THREE G TRUCKING LLC,951 W. REYNOLDS ST.,PONTIAC,IL,61764,LIVINGSTON,00128,ACTIVE,2019-12-31T00:00:00.000,,State of Illinois Data Portal: IDPH Migrant Labor Camps,https://data.illinois.gov/dataset/IDPH-Migrant-Labor-Camps/29w9-5zpm/about_data,https://data.illinois.gov/resource/29w9-5zpm.json?lcidno=00128,"951 W. REYNOLDS ST., PONTIAC, IL, 61764",40.8736995,-88.639911,Match,Cached OpenStreetMap Nominatim address match,Official Illinois public dataset says current licensed camps; source expiration field currently shows 2019 for all rows. Census batch returned no match; accepted cached address-level OpenStreetMap Nominatim result.
IL-IDPH-00153,IL,Illinois IDPH Migrant Labor Camps,"MATTHEWS HOSPITALITY, INC","MATTHEWS HOSPITALITY, INC.",1327 ENTERPRISE,RANTOUL,IL,61866,CHAMPAIGN,00153,ACTIVE,2019-12-31T00:00:00.000,,State of Illinois Data Portal: IDPH Migrant Labor Camps,https://data.illinois.gov/dataset/IDPH-Migrant-Labor-Camps/29w9-5zpm/about_data,https://data.illinois.gov/resource/29w9-5zpm.json?lcidno=00153,"1327 ENTERPRISE, RANTOUL, IL, 61866",40.289314371359,-88.160416293727,Match,US Census batch geocoder (Non_Exact),Official Illinois public dataset says current licensed camps; source expiration field currently shows 2019 for all rows.
IL-IDPH-95399,IL,Illinois IDPH Migrant Labor Camps,FREY BROTHERS - OAK GROVE SCHOOL,FREY BROTHERS,HWY 242 ON C.R. 100N,KEENES,IL,62851,WAYNE,95399,ACTIVE,2019-12-31T00:00:00.000,,State of Illinois Data Portal: IDPH Migrant Labor Camps,https://data.illinois.gov/dataset/IDPH-Migrant-Labor-Camps/29w9-5zpm/about_data,https://data.illinois.gov/resource/29w9-5zpm.json?lcidno=95399,"HWY 242 ON C.R. 100N, KEENES, IL, 62851",,,No_Match,,Official Illinois public dataset says current licensed camps; source expiration field currently shows 2019 for all rows.
